"sku","title","description","price","main_image","gallery"
"19M7866","Фланцевый винт с шестигранной John Deere 19M7866","🔧 Фланцевый винт с шестигранной головкой M8 × 20 John Deere 19M7866.

Запчасть John Deere для ремонта и обслуживания техники. Применяется как крепёжный или опорный элемент в соответствующем узле техники.
Продаётся по каталожному номеру 19M7866. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: 19M7866
• Бренд: John Deere
• Наименование: Фланцевый винт с шестигранной головкой M8 × 20
• Узел: Крепеж / Винты
• Раздел: Запчасти → Крепёж
• Вес: 0,014 кг
• Размеры: длина 26,67 мм; высота 17,78 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 2C-280, 2C-284, 2C-300, 2C-304, 2C-324, 2C-350.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","100","images/06/19M7866_1.jpg","[""images/06/19M7866_1.jpg"",""images/06/19M7866_2.jpg"",""images/06/19M7866_3.jpg"",""images/06/19M7866_4.jpg""]"
"19M7868","Фланцевый винт с шестигранной John Deere 19M7868","🔧 Фланцевый винт с шестигранной головкой, M8 X 30 John Deere 19M7868.

Запчасть John Deere для ремонта и обслуживания техники. Применяется как крепёжный или опорный элемент в соответствующем узле техники.
Продаётся по каталожному номеру 19M7868. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: 19M7868
• Бренд: John Deere
• Наименование: Фланцевый винт с шестигранной головкой, M8 X 30
• Узел: Крепеж / Винты
• Раздел: Запчасти → Крепёж
• Вес: 0,018 кг
• Размеры: длина 38,1 мм; высота 17,272 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 2C-280, 2C-284, 2C-300, 2C-304, 2C-324, 2C-350.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","155","images/06/19M7868_1.jpg","[""images/06/19M7868_1.jpg"",""images/06/19M7868_2.jpg"",""images/06/19M7868_3.jpg"",""images/06/19M7868_4.jpg""]"
"19M8011","Винт с шестигранной головкой, John Deere 19M8011","🔧 Винт с шестигранной головкой, M12 X 30 John Deere 19M8011.

Запчасть John Deere для ремонта и обслуживания техники. Применяется как крепёжный или опорный элемент в соответствующем узле техники.
Продаётся по каталожному номеру 19M8011. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: 19M8011
• Бренд: John Deere
• Наименование: Винт с шестигранной головкой, M12 X 30
• Узел: Крепеж / Винты
• Раздел: Запчасти → Крепёж
• Вес: 0,036 кг
• Размеры: длина 38,1 мм; высота 20,32 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 5-750, 5-754, 5-800, 5-804, 5-900, 5E-704.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","200","images/06/19M8011_1.jpg","[""images/06/19M8011_1.jpg"",""images/06/19M8011_2.jpg"",""images/06/19M8011_3.jpg"",""images/06/19M8011_4.jpg""]"
"51M7041","Уплотнительное кольцо John Deere 51M7041","🔧 Уплотнительное кольцо круглого сечения John Deere 51M7041.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру 51M7041. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: 51M7041
• Бренд: John Deere
• Наименование: Уплотнительное кольцо круглого сечения
• Узел: Уплотнения, прокладки и кольца / Уплотнительные кольца и комплекты
• Раздел: Запчасти → Уплотнения и прокладки
• Вес: 0,005 кг
• Размеры: длина 2,032 мм; высота 15,24 мм
• Фото: 6 шт.

🚜 Применяемость по данным каталога: 3B-554, 04, 5-750, 5-754, 5-800, 5-804.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","250","images/02/51M7041_1.jpg","[""images/02/51M7041_1.jpg"",""images/02/51M7041_2.jpg"",""images/02/51M7041_3.jpg"",""images/02/51M7041_4.jpg"",""images/02/51M7041_5.jpg"",""images/02/51M7041_6.jpg""]"
"51M7045","Уплотнительное кольцо John Deere 51M7045","🔧 Уплотнительное кольцо круглого сечения John Deere 51M7045.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру 51M7045. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: 51M7045
• Бренд: John Deere
• Наименование: Уплотнительное кольцо круглого сечения
• Узел: Уплотнения, прокладки и кольца / Уплотнительные кольца и комплекты
• Раздел: Запчасти → Уплотнения и прокладки
• Размеры: длина 2,032 мм; высота 24,13 мм
• Фото: 7 шт.

🚜 Применяемость по данным каталога: 3B-400, 3B-404, 3B-454, 3B-504, 3B-554, 3B-604.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","10","images/02/51M7045_1.jpg","[""images/02/51M7045_1.jpg"",""images/02/51M7045_2.jpg"",""images/02/51M7045_3.jpg"",""images/02/51M7045_4.jpg"",""images/02/51M7045_5.jpg"",""images/02/51M7045_6.jpg"",""images/02/51M7045_7.jpg""]"
"ADX15917","Насос John Deere ADX15917","🔧 Насос John Deere ADX15917.

Запчасть John Deere для ремонта и обслуживания техники. Предназначена для ремонта гидравлического узла и восстановления нормальной работы системы.
Продаётся по каталожному номеру ADX15917. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: ADX15917
• Бренд: John Deere
• Наименование: Насос
• Узел: Насосы и компрессоры / Насосы
• Раздел: Запчасти → Насосы и компрессоры
• Фото: 1 шт.

🚜 Применяемость по данным каталога: C2 400, C440, S5 300, S5 400, W2 400, W430.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","39000","","[]"
"ADX17318","Насос John Deere ADX17318","🔧 Насос John Deere ADX17318.

Запчасть John Deere для ремонта и обслуживания техники. Предназначена для ремонта гидравлического узла и восстановления нормальной работы системы.
Продаётся по каталожному номеру ADX17318. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: ADX17318
• Бренд: John Deere
• Наименование: Насос
• Узел: Насосы и компрессоры / Насосы
• Раздел: Запчасти → Насосы и компрессоры
• Вес: 6,273 кг
• Размеры: длина 266,7 мм; ширина 152,4 мм; высота 88,9 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: C1 200, C2 300, C2 400, C230, C440, R2 300.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","28600","","[]"
"AE71036","Правый комплект привода John Deere AE71036","🔧 Правый комплект привода режущего аппарата John Deere AE71036.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AE71036. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AE71036
• Бренд: John Deere
• Наименование: Правый комплект привода режущего аппарата
• Узел: Режущий аппарат / Детали режущего бруса
• Раздел: Запчасти → Режущий аппарат
• Вес: 1,574 кг
• Размеры: длина 254 мм; ширина 218,44 мм; высота 30,48 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: 500R, 525, 530, 535, 625, 630.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","19000","images/12/AE71036_1.jpg","[""images/12/AE71036_1.jpg""]"
"AE793E","Крестовина карданного шарнира John Deere AE793E","🔧 Крестовина карданного шарнира John Deere AE793E.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AE793E. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AE793E
• Бренд: John Deere
• Наименование: Крестовина карданного шарнира
• Узел: Подшипники и втулки / Крестовины и подшипниковые узлы
• Раздел: Запчасти → Подшипники и втулки
• Вес: 0,272 кг
• Размеры: длина 63,5 мм; ширина 63,5 мм; высота 25,4 мм
• Фото: 2 шт.

🚜 Применяемость по данным каталога: 14 BU БУНКЕР, 26, 42 ДЮЙМ., 44 ДЮЙМ. СНЕГООЧИСТИТЕЛИ, 47 ДЮЙМ., 47 ДЮЙМ. УСИЛЕННЫЕ СНЕГООЧИСТИТЕЛИ.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","6200","images/23/AE793E_1.jpg","[""images/23/AE793E_1.jpg"",""images/23/AE793E_2.jpg""]"
"AH140497","Центральный шкив John Deere AH140497","🔧 Центральный шкив John Deere AH140497.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AH140497. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH140497
• Бренд: John Deere
• Наименование: Центральный шкив
• Узел: Навесное оборудование двигателя / Вентиляторы и их приводы
• Раздел: Запчасти → Система охлаждения и впуск
• Вес: 0,349 кг
• Размеры: длина 27,94 мм; высота 96,52 мм
• Фото: 5 шт.

🚜 Применяемость по данным каталога: 1165, 1175, 1450, 1470, 1550, 1570.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","5600","images/08/AH140497_1.jpg","[""images/08/AH140497_1.jpg"",""images/08/AH140497_2.jpg"",""images/08/AH140497_3.jpg"",""images/08/AH140497_4.jpg"",""images/08/AH140497_5.jpg""]"
